fan_id,first_name,last_name,email,favorite_players,community_memberships
8c7b0bc0-270f-4d32-b3c7-6b21403336f1,Raymond,Crawford,ccrawford@example.com,['c737a041-c713-43f6-8205-f409b349e2b6'],['c8a2f333-b375-4015-868d-0476c7fa7780']
f78f965c-de40-46a6-b6b8-19abfb4ee692,Sheila,Richards,melanie70@example.org,['473d4c85-cc2c-4020-9381-c49a7236ad68'],['31438176-2075-4285-b76d-e19ddf0d95e2']
268aa97d-ab1d-42dd-8cb7-1b5a6c3db352,Lisa,Christian,usmith@example.com,['3227c040-7d18-4803-b4b4-799667344a6d'],[]
f3e89711-c141-4aed-a69d-6afacf6c531b,Regina,Andrews,autumn90@example.com,"['89531f13-baf0-43d6-b9f4-42a95482753a', '61a0a607-be7b-429d-b492-59523fad023e']",[]
6ab4700a-5cba-4f2c-a3e8-033d9b14dfcf,Kayla,Riggs,ellisonjessica@example.org,"['3fe4cd72-43e3-40ea-8016-abb2b01503c7', '7774475d-ab11-4247-a631-9c7d29ba9745']",[]
d9a97054-3671-4dc3-a8e3-083910fe9a6d,David,Dunlap,carol85@example.com,['262ea245-93dc-4c61-aa41-868bc4cc5dcf'],['91d80ee0-86be-4a80-90f6-b48f7656cf4d']
deb57fea-56eb-4531-addb-cc83e05e6aa6,Ricky,Cameron,qmiller@example.net,"['4ca8e082-d358-46bf-af14-9eaab40f4fe9', '26e72658-4503-47c4-ad74-628545e2402a']",['6ea27b5d-1542-454f-8653-e48fccb7238b']
f6bac2e7-eb9b-4e4e-9656-d2ce87d919c0,Lori,Edwards,zimmermanchristopher@example.com,"['44b1d8d5-663c-485b-94d3-c72540441aa0', '67214339-8a36-45b9-8b25-439d97b06703', '26e72658-4503-47c4-ad74-628545e2402a']",['83a7cb36-feee-4e71-9dea-afa5b17fbe7c']
7700a3f6-791d-44d0-9721-136f4f0c6291,Julie,Ramirez,sstephenson@example.net,['00d1db69-8b43-4d34-bbf8-17d4f00a8b71'],[]
13ae2c2b-3969-4a70-b36e-75518e981724,Steven,Benitez,kellyhughes@example.org,"['a9f79e66-ff50-49eb-ae50-c442d23955fc', 'c800d89e-031f-4180-b824-8fd307cf6d2b', '741c6fa0-0254-4f85-9066-6d46fcc1026e']",['c758e93b-3a3e-4c2f-990b-1bf9f1cdd6ca']
781b7872-1794-43d0-8ecf-a717bc5fcb28,Jennifer,Trujillo,peterswilliam@example.org,['cb00e672-232a-4137-a259-f3cf0382d466'],['279042a3-3681-41c1-bed1-68c8a111c458']
